total_sqft,bhk,sq_m,baths,Location,prices_lakh,area_ Built-up Area,area_ Carpet Area,area_ Plot Area,area_ Super built-up Area,price_per_sqft
630,2,59,2,Burari,28,0,1,0,0,4444.44
900,3,84,2,Burari,38,0,0,0,1,4222.22
992,2,92,2,Burari,41,0,0,0,1,4133.06
603,2,56,2,Burari,25,0,1,0,0,4145.94
900,3,84,2,Burari,40,1,0,0,0,4444.44
750,2,70,2,Dilshad Colony,53,0,0,0,1,7066.67
850,2,79,2,Dilshad Colony,57,0,1,0,0,6705.88
900,2,84,2,Dilshad Colony,70,0,1,0,0,7777.78
450,1,42,1,Dilshad Colony,30,0,1,0,0,6666.67
700,2,65,1,Dilshad Colony,45,0,1,0,0,6428.57
800,2,74,2,Dilshad Colony,45,0,1,0,0,5625
430,1,40,1,Dilshad Colony,25,0,1,0,0,5813.95
900,2,84,2,Dilshad Colony,65,0,1,0,0,7222.22
900,2,84,2,Dilshad Garden,65,1,0,0,0,7222.22
900,3,84,2,Dilshad Garden,80,0,1,0,0,8888.89
800,2,74,2,Dilshad Garden,50,0,1,0,0,6250
630,2,59,1,Dilshad Garden,60,0,1,0,0,9523.81
715,2,66,2,Dilshad Garden,70,0,0,0,1,9790.21
800,2,74,1,Dilshad Garden,72,0,0,0,1,9000
400,1,37,1,Dwarka Mor,14.5,0,1,0,0,3625
630,2,59,2,Dwarka Mor,23,0,0,0,1,3650.79
900,3,84,2,Dwarka Mor,40,0,0,0,1,4444.44
650,2,60,2,Dwarka Mor,31,1,0,0,0,4769.23
720,2,67,1,Dwarka Mor,28,1,0,0,0,3888.89
900,3,84,2,Dwarka Mor,41,1,0,0,0,4555.56
360,1,33,1,Dwarka Mor,15,0,1,0,0,4166.67
445,1,41,1,Dwarka Mor,17,0,1,0,0,3820.22
900,3,84,2,Dwarka Mor,53,0,1,0,0,5888.89
750,2,70,2,Dwarka Mor,28,0,1,0,0,3733.33
600,2,56,2,Dwarka Mor,32,0,1,0,0,5333.33
900,3,84,2,Dwarka Mor,42.5,1,0,0,0,4722.22
900,3,84,2,Dwarka Mor,30,0,1,0,0,3333.33
900,2,84,2,Hari Nagar,83,0,0,0,1,9222.22
992,2,92,2,Hari Nagar,82,1,0,0,0,8266.13
645,2,60,1,Hari Nagar,65,0,1,0,0,10077.52
490,1,46,2,Hari Nagar,44.75,0,1,0,0,9132.65
900,2,84,2,Hari Nagar,70,0,1,0,0,7777.78
900,2,84,2,Hari Nagar,75,0,1,0,0,8333.33
675,2,63,2,Hari Nagar,70,0,0,0,1,10370.37
900,2,84,2,Hari Nagar,100,0,0,0,1,11111.11
990,3,92,3,Hari Nagar,100,0,1,0,0,10101.01
900,2,84,1,Hari Nagar,85,0,1,0,0,9444.44
675,2,63,2,Laxmi Nagar,38,0,1,0,0,5629.63
700,2,65,2,Laxmi Nagar,35,1,0,0,0,5000
990,3,92,2,Laxmi Nagar,75,1,0,0,0,7575.76
675,2,63,3,Laxmi Nagar,41,1,0,0,0,6074.07
621,2,58,2,Laxmi Nagar,40,0,1,0,0,6441.22
630,2,59,2,Laxmi Nagar,40,1,0,0,0,6349.21
861,2,80,2,Mahavir Enclave,35,1,0,0,0,4065.04
900,3,84,2,Mahavir Enclave,62,0,1,0,0,6888.89
830,2,77,2,Mahavir Enclave,43,0,1,0,0,5180.72
630,2,59,2,Mahavir Enclave,40,1,0,0,0,6349.21
900,3,84,2,Mahavir Enclave,85,0,1,0,0,9444.44
914,3,85,2,Mahavir Enclave,85,1,0,0,0,9299.78
720,2,67,2,Mahavir Enclave,43.7,1,0,0,0,6069.44
927,3,86,3,Mahavir Enclave,70,1,0,0,0,7551.24
495,1,46,1,Mahavir Enclave,24,0,1,0,0,4848.48
450,1,42,1,Mahavir Enclave,23,0,1,0,0,5111.11
700,2,65,2,Mahavir Enclave,64,0,0,0,1,9142.86
675,2,63,2,Mahavir Enclave,35,0,1,0,0,5185.19
800,2,74,2,Mahavir Enclave,38,1,0,0,0,4750
600,2,56,2,Mahavir Enclave,40,0,1,0,0,6666.67
700,2,65,2,Mahavir Enclave,36,0,1,0,0,5142.86
450,1,42,1,Mahavir Enclave,19,1,0,0,0,4222.22
700,2,65,2,Mahavir Enclave,35,1,0,0,0,5000
950,2,88,2,Mahavir Enclave,50,0,0,0,1,5263.16
765,2,71,2,Mahavir Enclave,45,1,0,0,0,5882.35
450,1,42,1,Mahavir Enclave,21.5,0,1,0,0,4777.78
325,1,30,1,Mehrauli,18.5,0,1,0,0,5692.31
950,2,88,2,Mehrauli,37,0,0,0,1,3894.74
950,2,88,2,Mehrauli,37,1,0,0,0,3894.74
650,2,60,2,Mehrauli,35,0,1,0,0,5384.62
990,2,92,2,Mehrauli,45,1,0,0,0,4545.45
450,1,42,2,Mehrauli,16.5,0,1,0,0,3666.67
900,2,84,2,Mehrauli,35,0,1,0,0,3888.89
650,2,60,1,Mehrauli,25,0,0,0,1,3846.15
900,2,84,2,Mehrauli,32,0,0,0,1,3555.56
800,2,74,2,Mohan Garden,35,0,1,0,0,4375
947,3,88,2,Mohan Garden,48,0,1,0,0,5068.64
900,3,84,2,Mohan Garden,38.5,0,1,0,0,4277.78
900,3,84,2,Mohan Garden,45,0,1,0,0,5000
900,3,84,2,Mohan Garden,38,1,0,0,0,4222.22
610,2,57,1,Mohan Garden,27,1,0,0,0,4426.23
550,1,51,1,Om Vihar,27.5,1,0,0,0,5000
900,3,84,2,Om Vihar,54,0,1,0,0,6000
914,3,85,2,Om Vihar,50,1,0,0,0,5470.46
900,3,84,2,Om Vihar,48,0,1,0,0,5333.33
990,2,92,2,Paschim Vihar,90,0,1,0,0,9090.91
850,2,79,1,Paschim Vihar,86,0,1,0,0,10117.65
810,2,75,2,Paschim Vihar,85,0,1,0,0,10493.83
900,2,84,2,Paschim Vihar,120,0,0,0,1,13333.33
645,2,60,2,Paschim Vihar,90,0,1,0,0,13953.49
900,2,84,1,Paschim Vihar,125,0,0,0,1,13888.89
900,3,84,2,Pitampura,88,0,0,0,1,9777.78
807,1,75,2,Pitampura,100,1,0,0,0,12391.57
360,1,33,1,Pitampura,45,1,0,0,0,12500
650,2,60,1,Pitampura,60,0,1,0,0,9230.77
650,2,60,2,Pitampura,70,0,0,0,1,10769.23
538,1,50,1,Pitampura,50,0,0,1,0,9293.68
650,2,60,1,Sector 16 Rohini,37,1,0,0,0,5692.31
600,2,56,2,Sector 16 Rohini,65,0,1,0,0,10833.33
635,2,59,2,Sector 16 Rohini,55.51,0,1,0,0,8741.73
340,1,32,1,Sector 16 Rohini,21,0,0,0,1,6176.47
635,2,59,2,Sector 22 Rohini,55,1,0,0,0,8661.42
968,3,90,2,Sector 22 Rohini,65,0,1,0,0,6714.88
850,2,79,1,Shahadra,37.5,0,0,1,0,4411.76
900,2,84,2,Shahadra,60,1,0,0,0,6666.67
630,1,59,1,Shahadra,27,0,1,0,0,4285.71
675,2,63,2,Tilak Nagar,51,0,1,0,0,7555.56
624,2,58,2,Tilak Nagar,48,0,1,0,0,7692.31
460,1,43,1,Tilak Nagar,34,0,1,0,0,7391.3
900,3,84,4,Tilak Nagar,60,1,0,0,0,6666.67
990,2,92,2,Tilak Nagar,60,0,0,0,1,6060.61
900,2,84,2,Tilak Nagar,60,1,0,0,0,6666.67
900,3,84,2,Tilak Nagar,72,0,1,0,0,8000
360,1,33,1,Tilak Nagar,22,0,0,0,1,6111.11
620,2,58,2,Uttam Nagar,28,0,0,0,1,4516.13
555,1,52,1,Uttam Nagar,20,0,1,0,0,3603.6
400,1,37,1,Uttam Nagar,18,0,1,0,0,4500
720,2,67,2,Uttam Nagar,45,0,0,0,1,6250
450,1,42,1,Uttam Nagar,20,0,1,0,0,4444.44
650,2,60,2,Uttam Nagar,32,0,0,0,1,4923.08
900,2,84,2,Uttam Nagar,38,0,0,0,1,4222.22
625,2,58,2,Uttam Nagar,35,0,0,0,1,5600
600,2,56,2,Uttam Nagar,30,0,1,0,0,5000
900,3,84,2,Uttam Nagar,46,0,1,0,0,5111.11
720,2,67,2,Uttam Nagar,46,1,0,0,0,6388.89
650,2,60,2,Uttam Nagar,32,0,0,0,1,4923.08
550,1,51,1,Uttam Nagar,18.5,0,1,0,0,3363.64
450,1,42,1,Uttam Nagar,25,0,0,0,1,5555.56
450,1,42,1,Uttam Nagar,17,0,1,0,0,3777.78
900,3,84,2,Uttam Nagar,43,0,1,0,0,4777.78
900,3,84,2,Uttam Nagar,50,0,0,0,1,5555.56
375,1,35,1,Uttam Nagar,12,1,0,0,0,3200
900,2,84,1,Uttam Nagar,46,0,0,0,1,5111.11
850,2,79,1,Vikas Puri,75,0,0,0,1,8823.53
860,2,80,2,Vikas Puri,105,0,0,0,1,12209.3
750,2,70,2,Vikas Puri,82,0,1,0,0,10933.33
774,2,72,2,Vikas Puri,85,0,1,0,0,10981.91
900,3,84,2,Vikas Puri,86,0,0,1,0,9555.56
754,2,70,2,Vikas Puri,79,0,1,0,0,10477.45
540,1,50,1,Vishnu Garden,41,0,0,0,1,7592.59
750,2,70,2,Vishnu Garden,62,0,1,0,0,8266.67
900,3,84,2,Vishnu Garden,70,0,1,0,0,7777.78
750,2,70,2,Vishnu Garden,62,0,0,0,1,8266.67
810,1,75,2,Vishnu Garden,52,1,0,0,0,6419.75
990,2,92,2,Vishnu Garden,60,0,1,0,0,6060.61
900,3,84,2,other,155,0,1,0,0,17222.22
807,2,75,2,other,130,1,0,0,0,16109.05
350,1,33,1,other,25,0,1,0,0,7142.86
900,3,84,3,other,95,0,1,0,0,10555.56
900,2,84,2,other,98,0,1,0,0,10888.89
630,2,59,1,other,90,0,1,0,0,14285.71
900,2,84,2,other,85,0,1,0,0,9444.44
900,2,84,2,other,120,0,1,0,0,13333.33
720,2,67,2,other,58,0,0,0,1,8055.56
360,1,33,2,other,20.5,0,0,0,1,5694.44
753,2,70,2,other,100,0,1,0,0,13280.21
753,2,70,2,other,95,0,1,0,0,12616.2
770,2,72,2,other,150,0,1,0,0,19480.52
356,1,33,1,other,75,0,0,1,0,21067.42
648,2,60,2,other,72,0,1,0,0,11111.11
950,2,88,2,other,139,0,1,0,0,14631.58
500,1,46,1,other,35,0,0,0,1,7000
720,2,67,1,other,69,0,1,0,0,9583.33
800,2,74,2,other,60,0,1,0,0,7500
900,3,84,3,other,75,0,1,0,0,8333.33
600,1,56,1,other,23,0,1,0,0,3833.33
950,2,88,2,other,107,0,1,0,0,11263.16
750,2,70,2,other,75,1,0,0,0,10000
366,1,34,1,other,12,0,0,0,1,3278.69
850,2,79,2,other,75,0,1,0,0,8823.53
720,1,67,1,other,100,1,0,0,0,13888.89
700,2,65,2,other,50,0,1,0,0,7142.86
950,2,88,2,other,85,0,1,0,0,8947.37
320,1,30,1,other,18,0,1,0,0,5625
968,3,90,3,other,115,0,0,0,1,11880.17
900,2,84,2,other,110,0,0,0,1,12222.22
450,1,42,1,other,15,0,1,0,0,3333.33
445,1,41,1,other,12,0,1,0,0,2696.63
355,1,33,1,other,18,0,0,0,1,5070.42
460,1,43,1,other,21,0,1,0,0,4565.22
600,2,56,2,other,43,1,0,0,0,7166.67
445,1,41,2,other,22.5,0,1,0,0,5056.18
500,1,46,1,other,28,0,1,0,0,5600
688,2,64,2,other,67,0,1,0,0,9738.37
910,2,85,2,other,87.25,0,1,0,0,9587.91
360,1,33,1,other,17,0,0,0,1,4722.22
975,2,91,2,other,110,1,0,0,0,11282.05
968,1,90,1,other,275,0,0,1,0,28409.09
900,2,84,1,other,135,1,0,0,0,15000
450,1,42,1,other,51,0,0,0,1,11333.33
668,2,62,2,other,82,0,1,0,0,12275.45
960,2,89,1,other,95,0,1,0,0,9895.83
858,2,80,2,other,140,0,1,0,0,16317.02
945,2,88,2,other,85,0,1,0,0,8994.71
720,2,67,2,other,115,0,1,0,0,15972.22
980,2,91,2,other,95,0,1,0,0,9693.88
900,2,84,2,other,125,0,1,0,0,13888.89
360,1,33,1,other,25,0,0,0,1,6944.44
356,1,33,1,other,28,0,1,0,0,7865.17
840,2,78,2,other,71,1,0,0,0,8452.38
900,2,84,2,other,95,0,1,0,0,10555.56
396,1,37,1,other,15,1,0,0,0,3787.88
900,3,84,2,other,80,0,1,0,0,8888.89
650,2,60,1,other,57,0,0,0,1,8769.23
