total_sqft,bhk,baths,prices_lakh,area_ Built-up Area,area_ Carpet Area,area_ Plot Area,area_ Super built-up Area,price_per_sqft,Burari,Dilshad Colony,Dilshad Garden,Dwarka Mor,Hari Nagar,Laxmi Nagar,Mahavir Enclave,Mehrauli,Mohan Garden,Om Vihar,Paschim Vihar,Pitampura,Sector 16 Rohini,Sector 22 Rohini,Shahadra,Tilak Nagar,Uttam Nagar,Vikas Puri,Vishnu Garden
630,2,2,28,0,1,0,0,4444.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,3,2,38,0,0,0,1,4222.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
992,2,2,41,0,0,0,1,4133.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603,2,2,25,0,1,0,0,4145.94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,3,2,40,1,0,0,0,4444.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,2,2,53,0,0,0,1,7066.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850,2,2,57,0,1,0,0,6705.88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,2,2,70,0,1,0,0,7777.78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,1,1,30,0,1,0,0,6666.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,2,1,45,0,1,0,0,6428.57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,2,2,45,0,1,0,0,5625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,1,1,25,0,1,0,0,5813.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,2,2,65,0,1,0,0,7222.22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,2,2,65,1,0,0,0,7222.22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,3,2,80,0,1,0,0,8888.89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,2,2,50,0,1,0,0,6250,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,2,1,60,0,1,0,0,9523.81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715,2,2,70,0,0,0,1,9790.21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,2,1,72,0,0,0,1,9000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,1,1,14.5,0,1,0,0,3625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,2,2,23,0,0,0,1,3650.79,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,3,2,40,0,0,0,1,4444.44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,2,2,31,1,0,0,0,4769.23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,2,1,28,1,0,0,0,3888.89,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,3,2,41,1,0,0,0,4555.56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,1,1,15,0,1,0,0,4166.67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,1,1,17,0,1,0,0,3820.22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,3,2,53,0,1,0,0,5888.89,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,2,2,28,0,1,0,0,3733.33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,2,2,32,0,1,0,0,5333.33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,3,2,42.5,1,0,0,0,4722.22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,3,2,30,0,1,0,0,3333.33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,2,2,83,0,0,0,1,9222.22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
992,2,2,82,1,0,0,0,8266.13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645,2,1,65,0,1,0,0,10077.52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,1,2,44.75,0,1,0,0,9132.65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,2,2,70,0,1,0,0,7777.78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,2,2,75,0,1,0,0,8333.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,2,2,70,0,0,0,1,10370.37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,2,2,100,0,0,0,1,11111.11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
990,3,3,100,0,1,0,0,10101.01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,2,1,85,0,1,0,0,9444.44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,2,2,38,0,1,0,0,5629.63,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
700,2,2,35,1,0,0,0,5000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
990,3,2,75,1,0,0,0,7575.76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
675,2,3,41,1,0,0,0,6074.07,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
621,2,2,40,0,1,0,0,6441.22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
630,2,2,40,1,0,0,0,6349.21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
861,2,2,35,1,0,0,0,4065.04,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
900,3,2,62,0,1,0,0,6888.89,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
830,2,2,43,0,1,0,0,5180.72,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
630,2,2,40,1,0,0,0,6349.21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
900,3,2,85,0,1,0,0,9444.44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
914,3,2,85,1,0,0,0,9299.78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
720,2,2,43.7,1,0,0,0,6069.44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
927,3,3,70,1,0,0,0,7551.24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
495,1,1,24,0,1,0,0,4848.48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
450,1,1,23,0,1,0,0,5111.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
700,2,2,64,0,0,0,1,9142.86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
675,2,2,35,0,1,0,0,5185.19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
800,2,2,38,1,0,0,0,4750,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
